"Phase","Process","Title","Role","Technology","Practice applicability","Use Case SPOC","Use Case Page","Use Case Maturity"
"Design","Business Analysis","Navegador de Procedimientos Funcionales","[""Business Analyst"",""Organic Analyst"",""Programmer""]","[""Copilot for Microsoft 365"",""Copilot for Microsoft 365 Agents"",""SAP Joule for Consultants""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Chacon Martinez, Rafael","https://capgemini.sharepoint.com/:u:/s/ADM-TicketingSharepointAgent/Ed6Y1ZtOxUxMoHdDOp3oKlMBPJa6mz1T-ceHmLiUDaV8-A?e=dyif5c","Production"
"Coding","Development","Navegador de Código Legacy","[""Organic Analyst"",""Programmer""]","[""Copilot for Microsoft 365"",""Copilot for Microsoft 365 Agents"",""SAP Joule for Developers""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Chacon Martinez, Rafael","https://capgemini.sharepoint.com/:u:/r/sites/ADM-TicketingSharepointAgent/SitePages/Desarrollo-Evolutivo---Navegador-de-Codigo-Legacy.aspx?csf=1&web=1&share=EZSXqA-n88RJl3QY3X5o0ugB6NKDpDjLuDqf9mS6SsHWjA&e=xwQNeY","Production"
"Incident/Problem Management","Support","Navegador procedimientos de Soporte","[""Technical Support""]","[""Copilot for Microsoft 365"",""Copilot for Microsoft 365 Agents""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Chacon Martinez, Rafael","https://capgemini.sharepoint.com/:u:/r/sites/ADM-TicketingSharepointAgent/SitePages/Mantenimiento---Navegador-procedimientos-de-Soporte.aspx?csf=1&web=1&share=EVyxkeFh5WhKgQGuJ2FpdRUBsGN3BTH1tYb2psqT0JfmCQ&e=SmbZoh","Pilot"
"Governance","Contract Management","Revisión de Contratos y Acuerdos","[""Engagement Manager""]","[""Copilot for Microsoft 365"",""Copilot for Microsoft 365 Agents""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Chacon Martinez, Rafael","https://capgemini.sharepoint.com/:u:/r/sites/ADM-TicketingSharepointAgent/SitePages/Management-Revision-de-Contratos-y-Acuerdos.aspx?csf=1&web=1&share=EaPyZior3hRHuVrbWHtI4KQBrMGRojNzZhIglt6YqHkESQ&e=m3gcQV","Production"
"Design","Business Analysis","Conversor de Reglas funcionales a SQL","[""Business Analyst"",""Organic Analyst"",""Programmer""]","[""Copilot for Microsoft 365"",""Copilot for Microsoft 365 Agents""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Chacon Martinez, Rafael","https://capgemini.sharepoint.com/:u:/r/sites/ADM-TicketingSharepointAgent/SitePages/Soporte-Funcional-Tecnico-Conversor-de-Reglas-funcionales-a-SQL.aspx?csf=1&web=1&share=EaYAXbSMkopNhwEr7gXunTQBZgMAIFnMv3PnbkGiMJ91mQ&e=NaTpQ5","Pilot"
"Design","Business Analysis","Chatbot Funcional Interno","[""Business Analyst"",""Organic Analyst"",""Programmer""]","[""Copilot for Microsoft 365"",""Copilot for Microsoft 365 Agents""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Chacon Martinez, Rafael","https://capgemini.sharepoint.com/:u:/s/ADM-TicketingSharepointAgent/EaC4pgsjCJ5AqOcU-Mo9qAUBg3a6Zil9zAqj5NkSXKZIQQ?e=hkHqkt","Production"
"Incident/Problem Management","Support","Asistente de Resolución de Incidencias","[""Technical Support""]","[""Copilot for Microsoft 365"",""Copilot for Microsoft 365 Agents""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Chacon Martinez, Rafael","https://capgemini.sharepoint.com/:u:/r/sites/ADM-TicketingSharepointAgent/SitePages/Mantenimiento---Asistente-de-Resolucion-de-Incidencias.aspx?csf=1&web=1&share=ESyph3PTnFZPhSVgQ9qO_t0BBIbit0quDZQNIlA7n3Wtmw&e=o9MtZW","Production"
"Operate","Support","Generación de Scripts de Soporte Técnico","[""Technical Support""]","[""Copilot for Microsoft 365"",""Copilot for Microsoft 365 Agents""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Chacon Martinez, Rafael","https://capgemini.sharepoint.com/:u:/r/sites/ADM-TicketingSharepointAgent/SitePages/Mantenimiento%20-%20Generacion%20scripts%20de%20soporte%20tecnico.aspx?csf=1&web=1&share=EbfSDHtPf9dBk92LdtxCZiEBMrsc5yTmQyYlo8yoDzto7g&e=wbDzef","Production"
"Coding","Development","Creación de Queries en Lenguaje Natural","[""Organic Analyst"",""Programmer""]","[""Copilot for Microsoft 365"",""Copilot for Microsoft 365 Agents""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Chacon Martinez, Rafael","https://capgemini.sharepoint.com/:u:/r/sites/ADM-TicketingSharepointAgent/SitePages/Data-Model---Creacion-de-Queries-en-Lenguaje-Natural.aspx?csf=1&web=1&share=ESgyJ9qLePhEgssZA_8aLyQBcDg2ULL0_krT1HnM2E713Q&e=b83KQb","Pilot"
"Coding","Development","Documentación del Modelo Físico","[""Organic Analyst"",""Programmer""]","[""Copilot for Microsoft 365"",""Copilot for Microsoft 365 Agents""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Chacon Martinez, Rafael","https://capgemini.sharepoint.com/:u:/r/sites/ADM-TicketingSharepointAgent/SitePages/Data-Model---Documentacion-del-Modelo-Fisico.aspx?csf=1&web=1&share=ESN0J02FF6xKgTh1cxBeYfMBvr0br794dC6OFxxgVkngqg&e=DeLeay","Pilot"
"Test","Development","Navegador Conversacional del Modelo","[""Organic Analyst"",""Programmer""]","[""Copilot for Microsoft 365"",""Copilot for Microsoft 365 Agents""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Chacon Martinez, Rafael","https://capgemini.sharepoint.com/:u:/r/sites/ADM-TicketingSharepointAgent/SitePages/Data-Model---Navegador-Conversacional-del-Modelo.aspx?csf=1&web=1&share=EbqXQaXC8OpGjQO07u2H_owBkj00hxN0UNVa-rCLokVmIQ&e=jH3i3t","Pilot"
"Design","Business Analysis","Asistente SAP especializado","[""Business Analyst""]","[""Copilot for Microsoft 365"",""SAP Joule for Consultants""]","[""PBS""]","Gastaminza Martinez, Stella Laura","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU-Asistente%20SAP%20especializado.aspx?csf=1&web=1&share=EU9Rn9yFQk1LtcstOO04FCkB6a9ZOE2yxNp3NELDJet7qQ&e=oTxaPe","Prototype"
"All",,"Generación de documento Word a partir de información en otros formatos","[""Engagement Manager"",""Architect"",""Business Analyst"",""Organic Analyst"",""Programmer"",""Technical Support"",""Operator""]","[""Copilot for Microsoft 365""]","[""PBS"",""ADM"",""C&CA"",""DCX"",""I&D""]","Gastaminza Martinez, Stella Laura","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU-Generaci%C3%B3n%20de%20documento%20Word%20a%20partir%20de%20informaci%C3%B3n%20en%20otros%20formatos.aspx?csf=1&web=1&e=e1Xlzf","Production"
"All","Business Analysis","Aplicar cambios en Word usando ‘Make changes…’ ","[""Business Analyst""]","[""Copilot for Microsoft 365""]","[""PBS"",""ADM"",""C&CA"",""DCX"",""I&D""]","Gastaminza Martinez, Stella Laura","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU%20GenAI%20-%20Aplicar%20cambios%20en%20Word%20usando%20%27Make%20changes%27.aspx?csf=1&web=1&e=VCSMlH","Production"
"All",,"Generar imágenes para nuestras presentaciones","[""Business Analyst""]","[""Copilot for Microsoft 365""]","[""PBS""]","Gastaminza Martinez, Stella Laura","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU%20GenAI%20-%20Generar%20im%C3%A1genes%20para%20nuestras%20presentaciones.aspx?csf=1&web=1&e=OtsaYu","Production"
"All","Communication","Traducciones","[""Engagement Manager"",""Architect"",""Organic Analyst"",""Programmer"",""Technical Support"",""Operator"",""Business Analyst""]","[""Copilot for Microsoft 365""]","[""PBS"",""ADM"",""C&CA"",""DCX"",""I&D""]","Gastaminza Martinez, Stella Laura","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU%20GenAI%20-%20Traducciones.aspx?csf=1&web=1&e=57bs9M","Production"
"Governance",,"Generación de una presentación ppt de una reunión/acta/oferta","[""Engagement Manager""]","[""Copilot for Microsoft 365""]",,"Martin Giner, Francisco Jose;Martinez De Los Santos, Marta","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU-GenAI-Generaci%C3%B3n_ppt.aspx?csf=1&web=1&share=EZBx8H7h0UNButLeHtO_4bwBiBiIk0wckmbR9J-zMGpy4w&e=Fv41pD","Pilot"
"Analysis Requirements",,"Generación de historias de usuario a partir de un funcional","[""Engagement Manager"",""Business Analyst""]","[""Copilot for Microsoft 365""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Martin Giner, Francisco Jose;Martinez De Los Santos, Marta","https://capgemini.sharepoint.com/:u:/s/spaingenai/EXoAmegcIlhFiB7uhBCA0JQBBg2lpA0BE6GAYX1gmVZLZw?e=8ovTDw","Prototype"
"Transition","Knowledge Management","Asistente para acelerar los traspasos de conocimiento (KTPs)","[""Engagement Manager"",""Architect"",""Business Analyst"",""Organic Analyst"",""Technical Support"",""Programmer"",""Operator""]","[""Copilot for Microsoft 365""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Martin Giner, Francisco Jose;Martinez De Los Santos, Marta","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU-GenAI-asistente-ktp.aspx?csf=1&web=1&share=ESQZ2RP13VRGilCcszBYHp0B2Q1BO_w48RCWBwW7e--V4A&e=Q2Zbg0","Production"
"Coding","Development","Depuración y predicción de errores","[""Business Analyst"",""Organic Analyst"",""Programmer""]","[""Copilot for Microsoft 365"",""Microsoft GitHub Copilot""]","[""ADM"",""C&CA"",""DCX"",""PBS""]","Martin Giner, Francisco Jose;Martinez De Los Santos, Marta","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU-GenAI-Depurar-codigo.aspx?csf=1&web=1&share=EcCBuCLPCbdCqCM2Ef7q-MEBPYdId4ZRpEDObfoODPIrQg&e=xAs7BP","Production"
"Coding","Development","Generación de código","[""Programmer""]","[""Copilot for Microsoft 365"",""Microsoft GitHub Copilot"",""GitLab Duo"",""SAP Joule for Developers""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Martin Giner, Francisco Jose;Martinez De Los Santos, Marta","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CUGeneraci%C3%B3n-de-c%C3%B3digo.aspx?csf=1&web=1&share=EZnKe3eUY-FJpsDHd_RxM5kBFl9PLh_pKAPk2rJr70K4Bg&e=kaI0S5","Production"
"Deploy","Development","Revisión de código y mejora de calidad (kiuwan/SonarQube)","[""Programmer""]","[""Microsoft GitHub Copilot"",""GitLab Duo""]","[""ADM"",""DCX"",""C&CA""]","Martin Giner, Francisco Jose;Martinez De Los Santos, Marta","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU-GenAI-Revisi%C3%B3n%20de%20c%C3%B3digo%20y%20mejora%20de%20calidad.aspx?csf=1&web=1&share=ER0azkn3ck5IkfHnXPhinr0BnuG9afcUF2LslvVsyM-HIg&e=ShIDfd","Pilot"
"Coding","Development","Generación automatica de APIs a partir de contratos","[""Programmer""]","[""Microsoft GitHub Copilot""]","[""ADM"",""C&CA"",""DCX""]","Martin Giner, Francisco Jose;Martinez De Los Santos, Marta","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU-GenAI---Generaci%C3%B3n-de-APIs-Contratos.aspx?csf=1&web=1&share=EXAg0XKQi0tEpVEI65JuAOMBH0r_549eKgYkD7b3ly1aJg&e=2fbqUm","Pilot"
"Design","Reverse Engineering","Generación de documentación tecnica a partir del código","[""Programmer""]","[""Microsoft GitHub Copilot""]","[""ADM"",""C&CA"",""DCX"",""PBS"",""I&D""]","Martin Giner, Francisco Jose;Martinez De Los Santos, Marta","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU-GenAI---Generaci%C3%B3n-de-documentaci%C3%B3n-tecnica-a-partir-del-c%C3%B3digo1.aspx?csf=1&web=1&share=EZEdVLuW_xBGnrbIcMw-QCIBtgY9ALndEA7dyWaioPhTVw&e=lrufs4","Production"
"Coding","Testing","Generación de test unitarios","[""Programmer""]","[""Microsoft GitHub Copilot"",""GitLab Duo""]","[""ADM"",""C&CA"",""DCX""]","Martin Giner, Francisco Jose;Martinez De Los Santos, Marta","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU-GenAI---Generaci%C3%B3n-de-test-unitarios.aspx?csf=1&web=1&share=ETXq-zb83JVOj6yaOiFLXjwBPIFI-h5h3udYKmMYnD3QhQ&e=8RFnbU","Production"
"Design","Testing","Generación de planes de prueba","[""Business Analyst""]","[""Copilot for Microsoft 365"",""Amplifier"",""Microsoft GitHub Copilot""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Martin Giner, Francisco Jose;Martinez De Los Santos, Marta","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU-GenAI---Generaci%C3%B3n%20de%20plan%20de%20prueba.aspx?csf=1&web=1&share=EWW3VHD_yF1Etuh6GEvkQYoBhnIt6BP6mxbneM0ehxJk1Q&e=Euon0a","Production"
"Incident/Problem Management","Operations","Asistente para la interpretación de logs","[""Programmer"",""Operator"",""Technical Support""]","[""Copilot for Microsoft 365""]","[""ADM"",""C&CA"",""DCX""]","Martin Giner, Francisco Jose;Martinez De Los Santos, Marta","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU-GenAI---Asistente-interprete-log.aspx?csf=1&web=1&share=EV3F2tw9srRJk3HLxhjzKDAB9-vPwxgxf6ESPlrUHTuFsA&e=KuGgFe","Production"
"Analysis Requirements","Business Analysis","Generación de documentos de análisis funcional","[""Business Analyst""]","[""Copilot for Microsoft 365""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Martin Giner, Francisco Jose;Martinez De Los Santos, Marta","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU-GenAI---Generaci%C3%B3n%20de%20documentos%20de%20an%C3%A1lisis%20funcional.aspx?csf=1&web=1&share=EVfrsVMYR9ZDlc-wSVQosv0BxOa5tbBjkXu3vGePBIJBnA&e=Wf1G3D","Production"
"Coding","Development","Ayuda generación WS de spring boot a partir de un documento de contrato","[""Programmer""]","[""Microsoft GitHub Copilot""]",,"Martin Giner, Francisco Jose;Martinez De Los Santos, Marta","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU-GenAI---Generaci%C3%B3n-de-WS-YAML.aspx?csf=1&web=1&share=EVoJIeHhs69Anq8ZCDTwhPgBu9RNNP1Ny8E2Tf1mucgzhg&e=lPGxPf","Pilot"
"Governance","Knowledge Management","Generación de Actas de Reunión","[""Engagement Manager"",""Business Analyst""]","[""Copilot for Microsoft 365"",""Copilot for Microsoft 365 Agents"",""SolGPT""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Martinez De Los Santos, Marta;Borras Tortajada, Pepe","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU-GenAI---Generaci%C3%B3n-de-Actas-de-Reuni%C3%B3n.aspx?csf=1&web=1&share=Ea11xgA6HdNIuBgJRS_C_jIB3oJdSJqppTqKyYh2Y2GwhA&e=0L77E1","Production"
"Governance",,"Elaboración de prompts efectivos",,"[""Copilot for Microsoft 365"",""Amplifier"",""SolGPT"",""Copilot for Microsoft 365 Agents"",""SAP Joule for Consultants"",""SAP Joule for Developers""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Martinez De Los Santos, Marta;Borras Tortajada, Pepe","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU-GenAI---Elaboraci%C3%B3n-de-prompts-efectivos.aspx?csf=1&web=1&share=EfEh_WL-4u5Hhw_CfHHGFCQBVb74IDyYMnenSYqY-_DhTQ&e=scuJ3G","Production"
"All","Communication","Manejo del correo","[""Engagement Manager"",""Architect"",""Business Analyst"",""Organic Analyst"",""Programmer"",""Technical Support"",""Operator""]","[""Copilot for Microsoft 365""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Borras Tortajada, Pepe","https://capgemini.sharepoint.com/sites/spaingenai/SitePages/CU-GenAI---Manejo-del-correo.aspx","Production"
"Governance","Contract Management","Apoyo en la preparación de ofertas","[""Engagement Manager"",""Architect"",""Business Analyst""]","[""Copilot for Microsoft 365"",""Copilot for Microsoft 365 Agents"",""SolGPT""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Martinez De Los Santos, Marta;Borras Tortajada, Pepe","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU-GenAI---Apoyo-en-la-preparaci%C3%B3n-de-ofertas.aspx?csf=1&web=1&share=EZ4hw5D-HJZOnbQZsg9VxjoBHEgsYq6BZvxCSR7HxRz3AA&e=gCwtrR","Pilot"
"Governance","People Management","Recruiting en un proyecto","[""Engagement Manager""]","[""Copilot for Microsoft 365"",""SolGPT""]","[""ADM"",""C&CA"",""DCX"",""I&D"",""PBS""]","Martinez De Los Santos, Marta;Borras Tortajada, Pepe","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/CU-GenAI---Recruiting-en-un-Proyecto.aspx?csf=1&web=1&e=ThYHTw","Pilot"
"Test","Testing","Soporte a la generación de tests desde documentación/US/requisitos","[""Business Analyst"",""Programmer"",""Technical Support""]","[""Copilot for Microsoft 365"",""Microsoft GitHub Copilot"",""GitLab Duo"",""Amplifier""]","[""I&D"",""ADM"",""C&CA"",""DCX"",""PBS""]","De Cea De La Rúa, Ana Beatriz","https://capgemini.sharepoint.com/:u:/r/sites/spaingenai/SitePages/Soporte-a-la-generaci%C3%B3n-de-tests-desde-documentaci%C3%B3n-US-requisitos.aspx?csf=1&web=1&e=HnumdD","Production"
